threshold,accuracy,recall,expected_cost_thb
0.01,0.2906666666666667,1.0,26600
0.02,0.2906666666666667,1.0,26600
0.03,0.2906666666666667,1.0,26600
0.04,0.2906666666666667,1.0,26600
0.05,0.2906666666666667,1.0,26600
0.060000000000000005,0.2906666666666667,1.0,26600
0.06999999999999999,0.2906666666666667,1.0,26600
0.08,0.2906666666666667,1.0,26600
0.09,0.2906666666666667,1.0,26600
0.09999999999999999,0.2906666666666667,1.0,26600
0.11,0.2906666666666667,1.0,26600
0.12,0.2906666666666667,1.0,26600
0.13,0.2906666666666667,1.0,26600
0.14,0.2906666666666667,1.0,26600
0.15000000000000002,0.2906666666666667,1.0,26600
0.16,0.2906666666666667,1.0,26600
0.17,0.2906666666666667,1.0,26600
0.18000000000000002,0.2906666666666667,1.0,26600
0.19,0.2906666666666667,1.0,26600
0.2,0.2906666666666667,1.0,26600
0.21000000000000002,0.2906666666666667,1.0,26600
0.22,0.2906666666666667,1.0,26600
0.23,0.2906666666666667,1.0,26600
0.24000000000000002,0.2906666666666667,1.0,26600
0.25,0.2986666666666667,1.0,26300
0.26,0.31066666666666665,0.9954128440366973,25950
0.27,0.336,0.9954128440366973,25000
0.28,0.3586666666666667,0.9908256880733946,24250
0.29000000000000004,0.37866666666666665,0.9862385321100917,23600
0.3,0.404,0.9770642201834863,22850
0.31,0.42,0.9724770642201835,22350
0.32,0.43733333333333335,0.9678899082568807,21800
0.33,0.4493333333333333,0.9678899082568807,21350
0.34,0.464,0.944954128440367,21300
0.35000000000000003,0.4746666666666667,0.926605504587156,21300
0.36000000000000004,0.49066666666666664,0.908256880733945,21100
0.37,0.5026666666666667,0.8990825688073395,20850
0.38,0.5146666666666667,0.8761467889908257,20900
0.39,0.5346666666666666,0.8715596330275229,20250
0.4,0.5506666666666666,0.8577981651376146,19950
0.41000000000000003,0.5693333333333334,0.8440366972477065,19550
0.42000000000000004,0.576,0.8165137614678899,19900
0.43,0.588,0.8027522935779816,19750
0.44,0.596,0.7889908256880734,19750
0.45,0.616,0.7660550458715596,19500
0.46,0.6293333333333333,0.7385321100917431,19600
0.47000000000000003,0.6373333333333333,0.7110091743119266,19900
0.48000000000000004,0.6466666666666666,0.6926605504587156,19950
0.49,0.6586666666666666,0.6788990825688074,19800
0.5,0.6666666666666666,0.6376146788990825,20400
0.51,0.676,0.6146788990825688,20550
0.52,0.684,0.6009174311926605,20550
0.53,0.688,0.5871559633027523,20700
0.54,0.6826666666666666,0.5458715596330275,21800
0.55,0.6866666666666666,0.5229357798165137,22150
0.56,0.6906666666666667,0.5137614678899083,22200
0.5700000000000001,0.7053333333333334,0.5045871559633027,21850
0.5800000000000001,0.7066666666666667,0.47706422018348627,22400
0.59,0.7066666666666667,0.44036697247706424,23200
0.6,0.716,0.43119266055045874,23050
0.61,0.7133333333333334,0.4036697247706422,23750
0.62,0.7146666666666667,0.3761467889908257,24300
0.63,0.712,0.3532110091743119,24900
0.64,0.7226666666666667,0.3440366972477064,24700
0.65,0.7226666666666667,0.3119266055045872,25400
0.66,0.728,0.2981651376146789,25500
0.67,0.7266666666666667,0.27522935779816515,26050
0.68,0.732,0.26605504587155965,26050
0.6900000000000001,0.7293333333333333,0.24311926605504589,26650
0.7000000000000001,0.7226666666666667,0.2018348623853211,27800
0.7100000000000001,0.7173333333333334,0.16055045871559634,28900
0.72,0.7186666666666667,0.13761467889908258,29350
0.73,0.7226666666666667,0.12844036697247707,29400
0.74,0.7213333333333334,0.10550458715596331,29950
0.75,0.7226666666666667,0.09174311926605505,30200
0.76,0.7173333333333334,0.05963302752293578,31100
0.77,0.7133333333333334,0.04128440366972477,31650
0.78,0.7133333333333334,0.03211009174311927,31850
0.79,0.7093333333333334,0.009174311926605505,32500
0.8,0.7106666666666667,0.0045871559633027525,32550
0.81,0.7093333333333334,0.0,32700
0.8200000000000001,0.7093333333333334,0.0,32700
0.8300000000000001,0.7093333333333334,0.0,32700
0.8400000000000001,0.7093333333333334,0.0,32700
0.85,0.7093333333333334,0.0,32700
0.86,0.7093333333333334,0.0,32700
0.87,0.7093333333333334,0.0,32700
0.88,0.7093333333333334,0.0,32700
0.89,0.7093333333333334,0.0,32700
0.9,0.7093333333333334,0.0,32700
0.91,0.7093333333333334,0.0,32700
0.92,0.7093333333333334,0.0,32700
0.93,0.7093333333333334,0.0,32700
0.9400000000000001,0.7093333333333334,0.0,32700
0.9500000000000001,0.7093333333333334,0.0,32700
0.9600000000000001,0.7093333333333334,0.0,32700
0.97,0.7093333333333334,0.0,32700
0.98,0.7093333333333334,0.0,32700
0.99,0.7093333333333334,0.0,32700
